,State,County,Number of Farms,Land in Farms,Average Size of Farms,Farm Size 1-9 acres,Farm Size 10-49 acres,Farm Size 50-179 acres,Farm Size 180-499,Farm Size 500-999,Farm Size 1000+,Pastureland,Broilers and other meat-type chickens,Cattle and calves,Hogs and pigs,Sheep and lambs,Pastureland Acres,Chicken CH4 per Acre (Kg/Year),Cow CH4 per Acre (Kg/Year),Sheep CH4 per Acre (Kg/Year),Pig CH4 per Acre (Kg/Year),Chicken CO2 per Acre (Kg/Year),Cow CO2 per Acre (Kg/Year),Sheep CO2 per Acre (Kg/Year),Pig CO2 per Acre (Kg/Year),Chicken N2O per Acre (Kg/Year),Cow N2O per Acre (Kg/Year),Sheep N2O per Acre (Kg/Year),Pig N2O per Acre (Kg/Year)
0,Pennsylvania,Westmoreland County,1099,144278,131,142,320,470,122,22,23,14,601,23327,1164,2087,20198.92,0.0029754066058977416,80.26302891441722,0.051661177924364275,0.6915221209846864,0.2877813269224296,23559.21999790088,61.993413509237136,36.70829925560377,0.0004344093644610703,202.33212468785462,6.034025581565747,17.45805221269256
1,Tennessee,Franklin County,818,112357,137,76,342,270,93,22,15,19,572857,23447,935,622,21347.83,2.683443703645757,76.33405830943941,0.014568225435559492,0.5255803517266158,259.54267501661764,22405.96819442538,17.48187052267139,27.89955700415452,0.39178278073228046,192.42772684624148,1.7015687308733485,13.268713962964853
2,California,Fresno County,4774,1646540,345,745,1837,1076,523,277,316,25,21434530,375990,3200,30883,411635.0,5.207168972512056,63.481737461586114,0.03751260218397367,0.0932865281134986,503.637383021366,18633.488405990745,45.0151226207684,4.951959867358218,0.7602466699867602,160.02878278086166,4.381471935088124,2.3550961409987003
3,Tennessee,Dyer County,451,283837,629,33,129,99,60,35,95,4,55,7747,3512,262,11353.48,0.0004844329668084147,47.42303681338233,0.011538312482164059,3.7119896278497873,0.046854356549709875,13919.855409971216,13.845974978596871,197.0447827450262,7.072721315402856e-05,119.54699352092926,1.3476748979167623,93.71227147975775
4,Pennsylvania,Susquehanna County,909,154409,170,31,238,343,239,51,7,15,160,26413,282,1436,23161.35,0.0006908060195109525,79.25718923983274,0.030999920125553995,0.14610547312656647,0.06681475820709933,23263.980726512058,37.19990415066479,7.755765531801903,0.00010085767884859909,199.79654035710354,3.6207906706647064,3.688554423641109
8,Tennessee,Henry County,710,203991,287,36,209,258,129,34,44,12,456,17727,92365,580,24478.92,0.001862827281595757,50.330100347564354,0.011846927887341437,45.27895838541897,0.1801726546759416,14773.15175669515,14.216313464809723,2403.558040959323,0.00027197278311298054,126.8753033222054,1.3837211772414797,1143.105036905223
11,Tennessee,Montgomery County,787,133212,169,81,273,260,119,36,18,24,452,21614,742,515,31970.88,0.0014137865457566387,46.985663203515195,0.008054204325936601,0.2785034381286971,0.13674143470558206,13791.475242470648,9.665045191123923,14.783890840665002,0.00020641283568046924,118.44443443533615,0.9407310652693952,7.031051381757399
13,Pennsylvania,Erie County,1162,153403,132,100,360,467,188,31,16,8,571,14968,724,757,12272.24,0.004652777325084907,84.76659517740853,0.0308419652809919,0.7079392189200994,0.4500166228822123,24881.130095239336,37.010358337190276,37.57977353767527,0.0006793054894623965,213.68499964146721,3.6023415448198537,17.87251553098701
14,Tennessee,Maury County,1583,227179,144,155,578,554,207,55,34,37,5272,47892,154,1392,84056.23,0.0062719919748958535,39.59842119971358,0.008280171499483143,0.02198528294690352,0.6066270638119269,11623.13370466413,9.936205799379772,1.1670521030981285,0.0009157108283347947,99.82220711064487,0.9671240311396313,0.5550367890637017
16,Pennsylvania,Lebanon County,1149,107577,94,269,358,332,165,23,2,10,4837896,64584,90397,2523,10757.7,44.971471597088595,417.2442064753618,0.11726484285674446,100.8360523160155,4349.640732870409,122471.6807496026,140.71781142809337,5352.713777108489,6.565834853174937,1051.815611143646,13.696533645667754,2545.690170761408
17,South Carolina,Spartanburg County,1433,95806,67,192,781,347,90,19,4,28,1221,11334,396,519,26825.68,0.004551608756982116,29.364139138318208,0.009673566522824398,0.17714369216362827,0.4402315989753102,8619.11422189484,11.608279827389278,9.403377659019267,0.0006645348785193888,74.02298096450863,1.1298725698658898,4.4721401284142654
18,Oregon,Douglas County,2009,400179,199,452,686,459,243,95,74,51,346,58852,312,23963,204091.29,0.00016953197757728906,20.041100235095776,0.058706571946308926,0.018344731908941335,0.016397132871275397,5882.567551020918,70.44788633557071,0.9737995188329692,2.4751668726284204e-05,50.52087426170906,6.856927603328883,0.4631280443178148
19,Georgia,Camden County,47,5545,118,19,14,3,10,0,1,16,225,207,32,190,887.2,0.02536068530207394,16.215622182146078,0.10707844905320107,0.4328223624887286,2.4528854824165913,4759.693417493237,128.4941388638413,22.97565374211001,0.0037026600541027956,40.87736699729486,12.506762849413885,10.926961226330025
20,Arkansas,Searcy County,631,195438,310,13,82,231,199,60,46,51,217,36252,176,202,99673.38,0.0002177110879554802,25.2777020303716,0.0010133096720508525,0.021189208191796042,0.021057016427054043,7419.642034814109,1.2159716064610229,1.1247938015145067,3.178581884150011e-05,63.72163159310941,0.11835456969553956,0.5349392184753843
26,Arkansas,Pope County,919,158605,173,79,279,316,174,55,16,36,5967626,37097,2846,701,57097.8,10.451586576015186,45.154830834112694,0.006138590278434546,0.5981316267877221,1010.877453632189,13254.079841955381,7.366308334121454,31.75082052198158,1.5259316400982175,113.82915628973444,0.7169873445211549,15.100331361278366
27,Florida,Union County,308,53767,175,57,136,68,33,3,11,50,1002,12832,230,52,26883.5,0.003727193259806201,33.1736567039262,0.0009671359755984154,0.1026652035635241,0.36049413208845577,9737.303550504957,1.1605631707180986,5.449811222497071,0.0005441702159317053,83.62625402198374,0.11296148194989493,2.591868618297468
28,Oklahoma,Nowata County,883,346549,392,18,180,313,235,75,62,73,80,70743,121,524,252980.77,3.162295695439618e-05,19.434830955728376,0.001035651840256475,0.005739566687222907,0.0030585723966291985,5704.612251753365,1.2427822083077698,0.3046753316467493,4.6169517153418425e-06,48.99255227976419,0.12096413494195628,0.14490014399118162
31,Oklahoma,Okmulgee County,1404,295983,211,83,435,549,225,53,59,55,472,50803,285,626,162790.65,0.00028994294205471875,21.68925856614001,0.001922714848795063,0.021008577581083435,0.0280432813555324,6366.343521572032,2.3072578185540755,1.1152053265958457,4.233166953998894e-05,54.67565612644215,0.22457309433926337,0.5303790481824355
32,Florida,Walton County,598,89214,149,9,290,191,66,22,20,24,679437,13345,102,688,21411.36,3.1732547582218036,43.31707560846205,0.016066237735482474,0.05716591566346089,306.9172002152129,12714.65240881476,19.279485282578968,3.0345573564687154,0.4632951947003834,109.19642656982087,1.8765365675043526,1.4432011791871229
35,Oklahoma,Texas County,828,1278196,1544,22,37,210,195,90,274,45,40,243194,1094877,276,575188.2,6.954245584314838e-06,29.385135160978617,0.00023992147265886193,22.84213062785363,0.0006726146329149312,8625.277083222501,0.2879057671906343,1212.536434161897,1.0153198553099666e-06,74.0759090676756,0.028022828006555076,576.6686228090215
36,Florida,Sumter County,1307,177071,135,350,639,187,87,19,25,42,623,32707,258,266,74369.82,0.0008377054025409769,30.565308615779895,0.0017883598481211866,0.04162979014874582,0.0810228665337633,8971.687708804458,2.146031817745424,2.2098480270625904,0.00012230498877098263,77.05096502855592,0.2088804302605546,1.0509787437968787
40,Georgia,Murray County,278,47189,170,21,104,88,52,9,4,31,6062395,8839,88,47,14628.59,41.44210070827059,41.99382852345988,0.0016064432730700635,0.07218740835582924,4008.279980503931,12326.246070195419,1.927731927684076,3.8319482602219352,6.050546703407505,105.86070154403124,0.18763257429458344,1.8224312801165388
42,Illinois,Iroquois County,1516,681289,449,139,258,364,326,206,223,1,257,16057,52640,760,6812.89,0.0037722611109235584,163.8014851259891,0.05577662342999813,92.71836181121374,0.36485309464852655,48079.860382304716,66.93194811599776,4921.7997061452625,0.0005507501221948394,412.92115387155815,6.514709616623782,2340.7523092256
43,Florida,Miami-Dade County,2752,78543,29,2001,565,120,37,21,8,13,27135,6876,96,1674,10210.59,0.2657534971044768,46.802584375633536,0.081973715524764,0.11282403857171819,25.703678239944995,13737.736996588836,98.3684586297168,5.989076047515373,0.03880001057725362,117.98291773541,9.574529973292435,2.8483368737751684
44,Tennessee,Jackson County,538,80797,150,39,140,243,84,25,7,26,242,10431,164,495,21007.22,0.0011519848890048279,34.50977806677894,0.011781663637549376,0.09368207692402897,0.11141997846454696,10129.488813845906,14.13799636505925,4.972956916717204,0.00016818979379470487,86.99443334244131,1.3760983128657671,2.3650821003445484
45,Tennessee,Knox County,1037,67383,65,140,520,300,68,9,0,32,62,15452,137,450,21562.56,0.0002875354317854652,49.80456865975097,0.010434753572859622,0.0762432661056943,0.02781042696229019,14618.894973509638,12.521704287431547,4.047246709110606,4.198017304067791e-05,125.55050977249454,1.2187792173100038,1.9248247888933407
